Nota,Judul Buku
PNJM-230225-0139,"['Komik Kecil-Kecil Punya Karya: Perang Bantal/ Nadira Ramadhan Rosapatria', 'Merkurius dan Venus/Rosalina Mist']"
PNJM-230225-0140,"['Akuntansi Keuangan/ Ely Suhayati & Sri Dewi Anggadini', 'Dasar-Dasar Akunting/ George A. Mac Farland, Robert D.Ayars, Williard E.Stone; Penerjemah, Kartasapuetra']"
PNJM-230225-0141,['Fantasteen: Hana Dan Piano La/ Firda Amelia Noor']
PNJM-230225-0142,"['Memahami Ilmu Pemerintahan: Suatu Kajian, Teori, Konsep Dan Pembangunannya/ Muhadam Labolo', 'Kybernology (Ilmu Pemerintahan Baru)2/ Taliziduhu Ndraha']"
PNJM-230225-0143,"['Membuat Terasi/ Lies Suprapti', 'Dari Jendela Lantai Tiga/ Y.F. Sarbini']"
PNJM-230225-0144,['MENYELAMATKAN LINGKUNGAN HIDUP DENGAN PENGELOLAAN SAMPAH/ ADRIAN R. NUGRAHA']
PNJM-230225-0145,"['BANK SOAL GEOGRAFI SMA/MA/ FENTI RAHAYU SETIANI, FINA YURISTA, TRI HARYANTO']"
PNJM-230225-0146,"['Akuntansi Perbankan Syariah Berbasis PSAK Syariah/ Kuatsar Riza Salman', 'Buku Pintar Akuntansi Syariah/ Djoko Muljono']"
PNJM-230226-0147,['Petualangan Seru Mengenal 30 Binatang Bercahaya/ Nurul Khafidoh']
PNJM-230226-0148,['Pink Berry Club: Ranggawuni Shadow Mission/ Puspita Dwi Fitriyanti']
PNJM-230227-0149,"['Kumpulan Cerita Rakyat Indonesia/ Cerita Rakyat Banten dan Jakarta/ Tuti A. Windri, Wahyu Untara', 'Seri 10 Hewan Yang Taat Kepada Allah Berdasarkan Kisah-Kisah Al-Quran: Ikan Paus Menelan Nabi, A Whale Swallowed A Prophet/ Yoli Hendi']"
PNJM-230227-0150,"['Fiqih Kontemporer Buku 1: Menjawab 111 Masalah Hukum Islam Di Zaman Kita/ Ahmad Zharo', 'Buku Pegangan Utama Fiqih Praktis Empat Mazhab: Tanya Jawab Lengkap Dan Mudah Dipahami Tentang Hukum Ibadah Sehari Hari Yang Perlu Di Ketahui Setiap Muslim/Majdah Amir; Penerjemah, Ahsanu Rifqi']"
PNJM-230227-0151,['Journey To Damascus: Perjalanan Menuju Negeri Akhir Zaman/Abu Fatiah Al-Adnani']
PNJM-230227-0152,['Devil Enlovqer/ Luluk Hf']
PNJM-230227-0153,"['Sadako/ Koji Suzuki; Penerjemah, Lan Alexa', 'Main Bareng Cenghar aceng 2 harlis/ Harlis Suardana Kasyun']"
PNJM-230228-0154,"['Pengantar Studi Hubungan Internasional/ Robert Jackson & Georg Sorensen; Penerjemah, Dadan Suryadipura']"
PNJM-230228-0155,"['LIMA SEKAWAN: SARJANA MISTERIUS/ ENID BLYTON; PENERJEMAH, AGUS SETIADI', 'Melodylan/ Asriaci']"
PNJM-230228-0156,['Ketika Dhira Jatuh Cinta: Mencari Cinta Dari Hannovir Ke Cordoba/ Nadhira Arini']
PNJM-230228-0157,"['Sepuluh Kisah Genocide/ Tim Redaksi', 'SARAT MAKNA JILID 3: SERI KISAH JENAKA/ DHURORUDIN MASHAD']"
PNJM-230228-0158,['Prosedur Penelitian Suatu Pendekatan Praktik Edisi Revisi 2010/ Suharsimi Arikunto']
PNJM-230228-0159,"['Perling/ Nur Afiani', 'El Kehadiranmu Di Kehidupanku Bagaikan Hujan Turun Di Tanah Yang Tandus/ Luluk HF']"
PNJM-230228-0160,['AMANDEMEN UNDANG-UNDANG DASAR 1945/ ANANG SAEPULOH']
PNJM-230301-0001,['AMANDEMEN UNDANG-UNDANG DASAR 1945/ ANANG SAEPULOH']
PNJM-230301-0002,"['Serunya Adit Sopo Jarwo: Sebuah Semangat. Kreativitas, Dan Kebersamaan/ Tim Md', 'Aku Jago Menggambar Superhero Seri 2/ Irwan Nuswantoro']"
PNJM-230301-0003,['Komik Kecil-Kecil Punya Karya: Perang Bantal/ Nadira Ramadhan Rosapatria']
PNJM-230301-0004,"['Pengajaran Pragmatik/ Henry Guntur Tarigan', 'Pragmatik: Kesantunan Imperatif Bahasa Indonesia/ Kunjana Rahardi']"
PNJM-230301-0005,"['Cara Gampang Belajar Toefl Grammar 1 :Fun & Easy/ Peni R Pramono, Ule Sulistyo', 'CORRECT ENGLISH: PEDOMAN BELAJAR BAHASA INGGRIS/ B.A. PHYTIAN, ALBERT ROWE; PENERJEMAH, FEBRIANTI IKA DEWI']"
PNJM-230301-0006,"['Hukum Arbitrase/ Gunawan Widjaja, Ahmad Yani', 'Tuntunan Praktis: Penyelesaian Perselisihan Hubungan Industrial Edisi Revisi/ Juanda Pangaribuan']"
PNJM-230301-0007,"['Fantasteen: Last Puzzle Keping membawa Petaka/ Lyha Rachmadini', 'Budidaya & Pemasteran Kacer Siap Menjadi Jawara Kontes/ Iwan Putranto']"
PNJM-230301-0008,['Rate My Love/ Cassandra & Ela']
PNJM-230301-0009,"['Hukum Agraria Indonesia: Sejarah Pembentukan Undang-Undang Pokok Agraria Isi Dan Pelaksanaannya Jilid 1 Hukum Tanah Nasional/ Boedi Harsono', 'Hukum Pajak/ Wirawan B. Ilyas']"
PNJM-230301-0010,"['Perahu Mainan/ Wheni Kusumaningsih', 'Burung Gagak dan Sebuah Kendi/ Wheni Kusumaningsih']"
PNJM-230301-0011,"['Hukum Perlindungan Konsumen Indonesia Edisi Revisi 2008/ Shidarta', 'Hukum Perlindungan Konsumen/ Ahmadi Miru, Sutarman Yodo']"
PNJM-230301-0012,"['Jendela & Iptek Energi/ Steve Parker; Penerjemah, Januarius Mujiyanto']"
PNJM-230301-0013,"['Ilmu Pariwisata Sebuah Pengantar Perdana/ Nyoman S. Pendit', 'Inspirasi Pengembangan Pariwisata Daerah Edisi Revisi/ Manahati Zebua']"
PNJM-230301-0014,"['Devil Enlovqer/ Luluk Hf', 'Pink Berry Club: Ranggawuni Shadow Mission/ Puspita Dwi Fitriyanti']"
PNJM-230301-0015,['PRRI Pemberontak Atau Bukan?/ Syamdani']
PNJM-230301-0016,"['Danau Lindu: Keteduhan Yang Merindu/ Lukman', 'Kejora/ K. Usman']"
PNJM-230302-0017,"['Piyo Mencari Teman/ Sumarti Thahir', 'Lumba-Lumba Yang Pemaaf/ Taufik Hidayat']"
PNJM-230302-0018,"['PENILAIAN KINERJA PROFESI GURU DAN ANGKA KREDITNYA/ TUTIK RACHMAWATI & DARYANTO', 'STANDAR KOMPETENSI DAN PENILAIAN KINERJA: GURU PROFESIONAL /DARYANTO']"
PNJM-230302-0019,"['Metode Nyeleneh 20 Menit Dijamin Hafal 16 Tenses/ Hani Sutrisno', 'Complete English: Metode Aktif BElajar Tata Bahasa, Percakapan, & Kosa Kata Bahasa Inggris/ Imam Baehaqi']"
PNJM-230302-0020,"['Mutiara Hadits 6: Pemerintahan & Jihad, Berburu, Qurban, Minuman, Pakaian & Perhiasan, Tata Krama, Memberi Salam, Pengobatan & Penyakit, Perlakuan Terhadap Binatang, Keutamaan Etika, Syair, Ruyah & Mimpi, Beberapa Keutamaan Nabi SAW., Keutamaan Para Nabi/ Tengku Muhammad Hasbi Ash Shiddieqy']"
PNJM-230302-0021,['Pelangi Di Tana Matari Allo/Lisnayati Bottong']
PNJM-230304-0022,"['ILUN ANAK NATUNA/IDRUS M. THAHAR', 'Warisan Budaya Melayu Sepuluh Ribu Pantun Selaksa Santun/ Tusiran Suseno']"
PNJM-230305-0023,"['Seri Keajaiban Alam: Keajaiban Laba-Laba/ Ibnu Suwardi', 'Awang Garang: Panglima Laut Bermata Satu/ Wahyuningrum']"
PNJM-230305-0024,"['Perencanaan Usaha Mie Basah/ Tian', 'TANAMAN HIDROPONIK/ SISWADI']"
PNJM-230305-0025,"['Seri Tanggap Bencana: Gempa Dan Tsunami/ Sati', 'Referensi Berharga bagi Para Pecinta Astrologi dan Sejarawan: AStrologi dan Sejarah Dunia/ Ivan Taniputera']"
PNJM-230305-0026,['Business Plan Rumah Sakit 5/ Boy Subiroso Sabarguna']
PNJM-230306-0027,"['Hukum Administrasi Negara/Ridwan Hr', 'Sistem Administrasi Negara Republik Indonesia (SANRI)/ Inu Kencana Syafiie']"
PNJM-230306-0028,"['Hadits-Hadits Dhaif & Maudhu Jilid2 [251-500]/ Abdul Hakim Bin Amir Abdat', 'METODE KRTIK HADIS/ M. ABDURRAHMAN & ELAN SUMARNA']"
PNJM-230306-0029,['Menaklukkan Soal CPNS ( Calon Pegawai Negeri Sipil): Dalam 1 Jam/ Tim Sukses']
PNJM-230306-0030,"['Ini Gue Banget: Temukan Kekuatan Rahasiamu, Jadilah Apa Pun Yang Kamu Mau/ Brili Agung, Dodi Rustandi']"
PNJM-230306-0031,"['Panduan Praktis Berpetualang Di Alam Bebas/ Deni Yudiawan', 'SERI KISAH JENAKA: SARAT MAKNA 4/ DHURORUDIN MASHAD']"
PNJM-230306-0032,"['Bertanam Salak/ Nur Tjahjadi', 'Kendaraan Bawel Enggak Perlu Ke Bengkel: Panduan Lengkap Merawat Kendaraan Motor Mobil Sepeda/Ali Akbar, Eko Priyo Utomo']"
PNJM-230306-0033,"['RAGAM KALIMAT NONSASTRA/ FAJAR RACHMAWATI', 'Fantasteen: Fearacer Restart/ Esa Khairina']"
PNJM-230306-0034,"['Pemasaran Strategik: Mengupas Pemasaran Strategik, Branding Strategy, Customer Satisfaction, Strategi Kompetitif, Hingga E-Marketing/ Fandy Tjiptono, Gregorius Chandra']"
PNJM-230306-0035,"['Jifara Sniper Wanita Di Perang Suriah Memadukan Kesabaran, kecepatan, dan kecerdasan/ Armando', 'Opini Publik/ Anwar Arifin']"
PNJM-230306-0036,['Fantasteen: Last Puzzle Keping membawa Petaka/ Lyha Rachmadini']
PNJM-230306-0037,['Tiga Puluh Tipologi Manusia Dan Rahasia Kepribadiannya/ Ziyad Ulhaq']
PNJM-230306-0038,"['ZAKAT KAJIAN BERBAGAI MAZHAB/ WAHBAH AL-ZUHAYLY; PENERJEMAH, AGUS EFFENDI & BAHRUDDIN FANANNY', 'Ensiklopedi Shaum dan Zakat/ Syaikh Abu Malik Kamal bin As-Sayyid Salim; Penerjemah, Abu Amar']"
PNJM-230306-0039,['Budidaya & Memaster Burung: Kepodang Siap Kontes: Maskot eksotik Siapn Menjadi Jawara Lomba/ Rudi Hermawan']
PNJM-230306-0040,['Budidaya dan Memaster Burung Cendet/ Rudi Hermawan']
PNJM-230306-0041,"['Membuat Aneka Kreasi Dari Styrofoam/ Zainal Abidin', 'KELAS DUA DI MALORY TOWERS/ ENID BLYTON; PENERJEMAH, DJOKOLELONO']"
PNJM-230307-0042,"['Kisah masa Kecil Nabi Muhammad/ Syafawi Ahmad', 'Kisah Teladan Nabi Dan Rasul/ Abdul Lathif Asyur; Penerjemah, Masturi Irham, M.Abidun', 'Azab Untuk Saduum: Kisah Nabi Luth/ Bahrudin Supardi']"
PNJM-230307-0043,"['Holiday Licious Series: Konnichiwa Jepang/ Laksita Judith Tabina', 'Secret Kindom: Pulau Awan/ Rosie Banks']"
PNJM-230307-0044,['Kisah masa Kecil Nabi Muhammad/ Syafawi Ahmad']
PNJM-230307-0045,"['Administrasi dan Supervisi Pendidikan/ M. Ngalim Purwanto', 'Evaluasi Pembelajaran: Prinsip Teknik Prosedur/ Zainal Arifin']"
PNJM-230307-0046,['KUHP/ Tim Redaksi Fokusindo Mandiri']
PNJM-230307-0047,"['Biografi Gusdur: The Authorized Biography Of Abdurrahman Wahid/ Greg Barton; Penerjemah, Lie Hua']"
PNJM-230308-0048,['Jendela Iptek Evolusi/ Linda Gamilin']
PNJM-230308-0049,"['CliffsAP Biologi: Edisi Ke-2/ Phillip Pack; Penerjemah, Zubaidah Nuraini', 'Biologi: Edisi Kelima Jilid 2/ Neil A Campbell, Reece, Mitchell; Penerjemah, Wasmen Manalu']"
PNJM-230308-0050,['AlQuran dan Terjemahannya/ Al-Mubin']
PNJM-230308-0051,['Brisbane: Pesan CInta Terhalang/ Leyla Hana']
PNJM-230308-0052,"['Reformasi Birokrasi Publik Di Indonesia/ Agus Dwiyanto', 'Governance Reform Di Indonesia: Mencari Arah Kelembagaan Politik Yang Demikratis Dan Birokrasi Yang Profesional/ Wahyudi Kumurotomo']"
PNJM-230308-0053,"['Eoseo Oseyo New Idol!/ Dian Meliantari', 'Budidaya Kemiri Komoditas Ekspor/ Hatta Sunanto']"
PNJM-230308-0054,"['Pink Berry Club: Precious, Terbangkan Asaku/ Qonita Aliya Tunnuha', 'Mengenal Bunga Anthurium/ Fika Hidayani']"
PNJM-230308-0055,"['Kunci Penyelesaian Soal: Akuntansi Manajemen / Don R. Hansen, Maryanne M. Mowen; Penerjemah, Ancella A. Hermawan', 'AKUNTANSI MANAJEMEN/ ANTHONY A. ATKINSON...[ET.AL]...; PENERJEMAH, MIRANTI KARTIKA DEWI']"
PNJM-230308-0056,"['Akuntansi Manajemen Jilid 1/ Don R Hansen, Maryanne A Hermawan; Penerjemah, Ancella A Hermawan', 'Akuntansi manajemen Jilid 2/ Don R. Hansen, Maryanne M. Mowen; Penerjemah, Ancella A. Hermawan']"
PNJM-230308-0057,['Peristiwa Andi Azis: (Kemelut Bekas KNIL di Sulawesi Selatan PascaPengembalikan Kedaulatan/ Patrik Matanasi']
PNJM-230308-0058,['METODOLOGI PENELITIAN KUALITATIF EDISI REVISI/ LEXY J. MOLEONG']
PNJM-230308-0059,"['Piyo Mencari Teman/ Sumarti Thahir', 'Epan Yang Tak Henti Menggaruk/ Naufal Moncol']"
PNJM-230308-0060,['Metode Penelitian Dalam Teori Dan Karakter/ Joko Subagyo']
PNJM-230308-0061,"['On Progres-Curatography: Dokumentasi Kuratorial Seni Rupa 1999-2019/Mikke Susanto', 'Kepulauan Kangean: Penelitian Terapan Untuk Pembangunan/ Charles Illouz, Penerjemah: Ari Anggri terapan']"
PNJM-230309-0062,"['Penelitian Tindakan Kelas/ Suharsimi Arikunto, Suhardjono, Supardi', 'MENGENAL PENELITIAN TINDAKAN KELAS/ WIJAYA KUSUMA , DEDI DWITAGAMA']"
PNJM-230309-0063,['Penyadapan Vs Privasi/Reda Manthovani']
PNJM-230309-0064,"['Percakapan Bahasa Jerman Praktis Untuk Pemula: Jerman-Inggris-Indonesia/ Imam Hilmansyah, Astri Novia', 'Seribu Satu Percakapan Bahasa Jerman Segala Situasi/ Ridwansyah']"
PNJM-230309-0065,"['Seri Fabel Akhlak: Rajawali Yang Jujur/ Taufik Hidayat', 'Seri Fabel Ahlak: Ketabahan Hati Kancil/ Taufik Hidayat']"
PNJM-230309-0066,"['KUHP dan KUHAP: Edisi Revisi 2010/ Pemerintah Indonesia', 'Hukum Tata Negara Indonesia/ Dasril Radjab']"
PNJM-230309-0067,"['KEPALA SEKOLAH SEBAGAI PEMIMPIN PEMBELAJARAN/ DARYANTO', 'METODE PENELITIAN PENDIDIKAN/ NANA SYAODIH SUKMADINATA']"
PNJM-230309-0068,"['Biografi Gusdur: The Authorized Biography Of Abdurrahman Wahid/ Greg Barton; Penerjemah, Lie Hua', 'Biografi Politik: Susilo Bambang Yudhoyono/ Garda Maeswara']"
PNJM-230310-0069,"['Marissa Mayer: Keputusan-Keputusan Kontroversial dan Misi Menyelamatkan Yahoo dari Kebangkrutan/ Nicholas Carlson; Penerjemah, Yusa Tripeni']"
PNJM-230310-0070,"['Kitab Undang-Undang Hukum Acara Pidana & Kitab Undang-Undang Hukum Pidana/ Rohmat Kurnia', 'HUKUM TATA NEGARA INDONESIA: PEMIKIRAN DAN PANDANGAN/SRI SOEMANTRI']"
PNJM-230310-0071,['Hukum Tata Negara Indonesia/ Dasril Radjab']
PNJM-230310-0072,"['Kitab Undang-Undang Hukum Pidana, Acara Pidana, dan Perdata (KUHP,KUHAP, & KUHPdt)/ Kitab Undang-Undang', 'HUKUM TATA NEGARA INDONESIA: PEMIKIRAN DAN PANDANGAN/SRI SOEMANTRI']"
PNJM-230310-0073,"['Cara Jitu Lulus Tes TNI-Polri/ Ratih Putri Pratiwi', 'Menaklukan Soal Usm PTN ( Ujian Saringan Masuk-Perguruan Tinggi Negeri): Kedinasan/Tim Sukses']"
PNJM-230310-0074,"['Fugu: Si Ikan Buntal/ Wheni Kusumaningsih', 'Melawan Kesombongan Kiki/ Wheni Kusumaningsih']"
PNJM-230310-0075,"['General Psychology: Psikologi Kepribadian,Persepsi, Kognisi, Emosi & Perilaku/ C. George Boeree; Penerjemah; Helmi J. Fauzi']"
PNJM-230310-0076,"['Kumpulan Lagu Wajib Nasional, Tradisonal, dan Anak Terpopuler/ Hani Widiatmoko, Dicky Maulana', 'Kitab Belajar Menggambar: Dilengkapi Dengan Kamus Indonesia-Inggris/Irwan Nuswanto']"
PNJM-230310-0077,"['Dari Firenze Ke Jakarta/ Ewith Bahar', 'Hukum Agraria/Supriadi']"
PNJM-230310-0078,"['Perempuan, Media dan Politik: (Bunga Rampai Refleksi Sosial Politik I)/ Isidorus Lilijawa', 'El Kehadiranmu Di Kehidupanku Bagaikan Hujan Turun Di Tanah Yang Tandus/ Luluk HF']"
PNJM-230310-0079,"['Pembangunan Ekonomi di Dunia Ketiga Edisi Ketujuh jilid 2/ Michael P.Tedaro', 'Pembangunan Ekonomi Di Dunia Ketiga Edisi Keenam Jilid 1/ Michael P. Todaro; Penerjemah, Haris Munandar']"
PNJM-230311-0080,"['CULTURES AND COMMUNICATION: AN INDONESIAN SCHOLARS PERSPECTIVE/ DEDDY MULYANA', 'Inikah Almahdi Yang Dijanjikan: Kajian Terlengkap Tentang Sosok Pemimpin Akhir Zaman Yang Dijanjikan Dalam Nubuwat Rasulullah/ Abu Ammar', 'MANAJEMEN PAUD/ H.E MULYASA']"
PNJM-230311-0081,"['Montmartre: hatiku Tertinggal/ Olenka Priyadarsani', 'Kiat Sukses Beragrobisnis Semangka/ Kusno Waluyo']"
PNJM-230311-0082,"['Governance Reform Di Indonesia: Mencari Arah Kelembagaan Politik Yang Demikratis Dan Birokrasi Yang Profesional/ Wahyudi Kumurotomo', 'Kebijakan Publik: Berbasis Dynamic Policy Analisys/Dwiyanto Indiahono']"
PNJM-230311-0083,['Akuntansi Manajemen/ Armila Krisna Warindrani']
PNJM-230311-0084,"['Sosiologi Kontemporer/ Margaret M Poloma; Penerjemah, Yosugma']"
PNJM-230311-0085,"['Hukum Tata Negara Indonesia/ Dasril Radjab', 'Hukum Tata Negara Indonesia/ Lintje Anna Marpaung']"
PNJM-230311-0086,"['Undang Undang Dasar 1945& Perubahannya/Redaksi Bukune', 'Hukum Tata Negara Indonesia/ Lintje Anna Marpaung']"
PNJM-230311-0087,['Bertekuk Lutut Di Hadapan Allah: Dan Orang-Orang Beriman Amat Berat Cintanya Kepada Allah/ Zen Muhammad Al Hadi']
PNJM-230311-0088,"['AKUNTANSI MANAJEMEN/ ANTHONY A. ATKINSON...[ET.AL]...; PENERJEMAH, MIRANTI KARTIKA DEWI']"
PNJM-230311-0089,"['Perbandingan Hukum Pidana Beberapa Negara Edisi Ketiga/ Jur Andi Hamzah', 'Kitab Undang-Undang Hukum Acara Pidana & Kitab Undang-Undang Hukum Pidana/ Rohmat Kurnia']"
PNJM-230311-0090,"['Rahasia Pak Harto: Menyikap Rahasia Umur Panjang, Kesehatan, Kesuksesan, & Kekuasaan Pak Harto/ Mohammad Shoelhi']"
PNJM-230311-0091,"['KOMUNIKASI BISNIS JILID 1/ COURTLAND L BOVEE; ALIH BAHASA,EDITOR, HARTATI WIDIASTUTI']"
PNJM-230311-0092,['PERPAJAKAN (EDISI REVISI)/MARDIASMO']
PNJM-230311-0093,"['Strategi Jitu Lolos TBS Tes Bakat Skolastik/ M. Hariwijaya, Atik Sustiwi', 'Komik Sufi Rumi: Kisah & Hikmah Pencerah Hati/ Andityas Praba']"
PNJM-230312-0094,"['TUJUH KEBIASAAN ANAK BAHAGIA/ SEAN COVEY; PENERJEMAH, LANNY MURTIHARDJONO', 'STORIES FROM AROUND THE WORLD: TUCK-ME-IN-TALES: LIMA KISAH NINA BOBO/ MARGARET READ MACDONALD; PENERJEMAH, DINA SIMARMATA-TUASUN']"
PNJM-230312-0095,"['STORIES FROM AROUND THE WORLD: THE OLD WOMAN WHO LIVED IN A VINEGAR BOTTLE: NENEK TUA DI DALAM BOTOL/ MARGARET READ MACDONALD; PENERJEMAH, DINA SIMARMATA-TUASUN', 'STORIES FROM AROUND THE WORLD: GO TO SLEEP, GECKO!: TIDURLAH, TOKEK!/ MARGARET READ MACDONALD; PENERJEMAH, DINA SIMARMATA-TUASUN']"
PNJM-230312-0096,"['Seri Pendidikan Karakter: Gara-Gara Tidak Jujur/ Anne Rahman', 'Atlas Indonesia dan Dunia: Edisi 33 Propinsi Di Indonesia/ Karya Gemilang Utama']"
PNJM-230312-0097,['Komunikasi Bisnis/ Sutrisna Dewi']
PNJM-230312-0098,"['Bandelnya Judith/ Bayu Indie', 'Assalamualaikum Calon Imam/ Ima Madaniah']"
PNJM-230313-0099,"['Jony Ive: Sosok Genius Di Balik Desain Produk AppleYang Yang Menakjubkan/ Leander Kahney', 'Sby Selalu Ada Pilihan: Untuk Pencinta Demokrasi Dan Para Pemimpin Indonesia Mendatang/ Susilo Bambang Yudohyono']"
PNJM-230313-0100,"['Memasyarakatkan Budi Pekerti Yang Terkandung Dalam Gurindam Dua Belas Raja Ali Haji/ Maswardi Muhammad Amin', 'Gurindam 12 Dalam Pendidikan Karakter/ Yayuk Prasetyoningsih']"
PNJM-230313-0101,"['Memasyarakatkan Budi Pekerti YAng Terkandung Dalam Gurindam Dua Belas Raja Ali Haji/Maswardi Muhammad Amin', 'Gurindam 12 Dalam Pendidikan Karakter/ Yayuk Prasetyoningsih']"
PNJM-230313-0102,"['Sosiologi Politik/ Maurice Duverger, Penerjemah: Daniel Dhakidae', 'Pengantar Sosiologi Politik/ Rafael Raga Maran']"
PNJM-230313-0103,"['Pengantar Sosiologi Politik/ Rafael Raga Maran', 'Sosiologi & Politik/ Liosten Rianna Roosida Ully Tampubolon']"
PNJM-230313-0104,"['Pengantar Sosiologi Politik/ Michael Rush,Philipip Althoff; penerjemah, Kartini Kartono', 'Sosiologi & Politik/ Liosten Rianna Roosida Ully Tampubolon']"
PNJM-230313-0105,['Pengantar Sosiologi Politik/ Rafael Raga Maran']
PNJM-230313-0106,"['Sembilan Puluh Hari Pertama/ Michael Watkins; Penerjemah, Satrio Wahono', 'Sistem Teknologi Informasi Edisi 3/ Jogiyanto HM']"
PNJM-230313-0107,"['Pancasila Soekarno: Idiologi Alternatif Terhadap Globalisasi dan Syariat Islam/ Ign. Gatut Saksono', 'My Psycho Path Boy Friend/Bayu Permana']"
PNJM-230313-0108,"['Pidana dan Pemidanaan/ Bambang Waluyo', 'KUHP Dan KUHAP: Dilengkapi Yurisprudensi mahkamah Agung Dan Hoge Raad/ Soenarto Soerodibroto']"
PNJM-230313-0109,"['KUHP dan KUHAP: Edisi Revisi 2010/ Pemerintah Indonesia', 'KUHP Dan KUHAP: Dilengkapi Yurisprudensi mahkamah Agung Dan Hoge Raad/ Soenarto Soerodibroto']"
PNJM-230313-0110,"['Pidana dan Pemidanaan/ Bambang Waluyo', 'AMANDEMEN UNDANG-UNDANG DASAR 1945/ ANANG SAEPULOH']"
PNJM-230313-0111,"['KUHP/ Tim Redaksi Fokusindo Mandiri', 'Pidana dan Pemidanaan/ Bambang Waluyo']"
PNJM-230313-0112,['Permulaan Membaca & Menulis TK: Lengkap Huruf Besar dan Kecil edisi Baru/ Wahyoe Soedjono']
PNJM-230313-0113,"['Akuntansi Pajak Penghasilan/ Marisi P. Purba', 'Akuntansi Sektor Publik: Suatu Pengantar/ Indra Bastian']"
PNJM-230313-0114,['Akuntansi Sektor Publik: Suatu Pengantar/ Indra Bastian']
PNJM-230313-0115,['Percakapan Sehari-hari dalam Bahasa Jepang Untuk Pemula/ Widati Utami']
PNJM-230313-0116,['Hukum Agraria & Hak-Hak Atas Tanah/ Urip Santoso']
PNJM-230313-0117,"['MALAM/ ELIE WIESEL; PENERJEMAH, MARIANNE KATOPPO']"
PNJM-230314-0118,"['Hukum Agraria & Hak-Hak Atas Tanah/ Urip Santoso', 'Hukum Agraria/Supriadi']"
PNJM-230314-0119,"['STRATEGI PEMBELAJARAN/ ABDUL MAJID', 'Belajar Dan Pembelajaran : Strategi Belajar Yang Menyenangkan/ I Putu Suku Arsa']"
PNJM-230314-0120,"['Kalkulus/ Koko Martono', 'Psikologi Perkembangan Peserta Didik/ Desmita']"
PNJM-230314-0121,"['Kecil-Kecil Jadi Detektif: Misteri Boneka Matryoshka/ Lakista Judith Tabina', 'Imam Syafii: Sang Penegak Sunah/ Irfan Mahardhika', 'STORIES FROM AROUND THE WORLD: THE GIRL WHO WORE TOO MUCH: GADIS YANG SUKA PAMER/ MARGARET READ MACDONALD; PENERJEMAH, DINA SIMARMATA-TUASUN']"
PNJM-230314-0122,"['Analisis SWOT: Kebijakan Pendidikan Era Otonomi Daerah/ Sam M. Chan & Tuti T. Sam', 'Kepemimpinan Kepala Daerah: Pola Kegiatan, Kekuasaan, Dan Prilaku Kepala Daerah Dalam Pelaksanaan Otonomi Daerah/ Kaloh']"
PNJM-230314-0123,"['Niloya: Berbaikan/ Alim Ekiz; Penerjemah, Maria M. Lubis', 'Niloya: Menghilang/Alim Ekiz']"
PNJM-230314-0124,['Sejarah Tamadun Melayu/ Ellya Roza']
PNJM-230315-0125,"['Harimau Yang Licik: Seri Fabel Ahlak/ Ranttisi', 'Lima Puluh Kisah Menakjubkan: Plus 50 Langkah Membentuk Karakter Anak Muslim/ Tim Darul Fikri']"
PNJM-230315-0126,"['Manajemen S.D.M. Lewat Konsep A.K.U. (Ambisi, Kenyataan dan Usaha)/ R. Matindas']"
PNJM-230315-0127,"['Manajemen Sumber Daya Manusia Strategi/ Arief Subyantoro, Suwarto', 'Akuntansi Manajemen: Sistem Proses, dan Pemecahan Soal/ Lili M. Sadeli, Bedjo Siswanto']"
PNJM-230315-0128,"['Manajemen S.D.M. Lewat Konsep A.K.U. (Ambisi, Kenyataan dan Usaha)/ R. Matindas', 'Manajeman Operasional Teori, Soal-Jawab, dan Soal Mandiri/ Danang Suyanto dan Danang Wahyudi']"
PNJM-230315-0129,['Oxford:Kams Junior Begambar Inggris-Indonesia/ Rosemary Sansome']
PNJM-230315-0130,"['Manajemen Sumber Daya Manusia Strategi/ Arief Subyantoro, Suwarto', 'Mengelola dan Mengembangkan Sumber Daya Manusia Dalam peraingan Global/ Justine T. Sirait, Purwanto Rahardjo']"
PNJM-230315-0131,"['Prinsip-Prinsip Riset Operasi/Aminudin', 'Evaluasi Pembelajaran: Prinsip Teknik Prosedur/ Zainal Arifin']"
PNJM-230315-0132,"['Riset Operasi Dan Ekonofisika ( Perations Research & Econophsics)/ Suyati Prawirosentone', 'Evaluasi Pembelajaran: Prinsip Teknik Prosedur/ Zainal Arifin']"
PNJM-230315-0133,"['Pengantar Studi Hubungan Internasional/ Robert Jackson & Georg Sorensen; Penerjemah, Dadan Suryadipura', 'Secret Kindom: Pulau Awan/ Rosie Banks']"
PNJM-230315-0134,"['Pemerintah Desa Dan Kelurahan: Buku Kesatu Dilengkapi Dengan 2011/ Fokus Media', 'Indikator Strategi Pengembangan Kepariwisataan/ Usman Chamdani']"
PNJM-230315-0135,['Peningkatan Kualitas Pelayanan Publik Indonesia/ Muhammad Alfiansyah']
PNJM-230315-0136,"['Jenis & Budi Daya Cabai Rawit Edisi Revisi/ Setiadi', 'Insentif Bdidaya: Lidah Buaya, Usaha Dengan Prospek Yang Kian Berjaya/Jamal Arifin']"
PNJM-230315-0137,"['Agar Kelinci Hias Tampil Manawan/ Nuning Priyatna', 'Asma dan Hay Fever/ Leon Chaitow; Penerjemah, Irawan']"
