Nota,Judul Buku
PNJM-230106-0041,"['Rich Dad, Poor Dad/ Robert T Kiyosaki; Penerjemah, J. Dwi Helly Purnomo']"
PNJM-230106-0042,"['The Alpha: Menjadi Cewek Smart, Independen, Dan Anti-galau Girls Guide/ Manampiring Henry']"
PNJM-230106-0043,"['YAKUZA MOON: MEMOAR SEORANG PUTRI GANGSTER JEPANG/ SHOKO TANDO; PENERJEMAH.LAKSANA', 'ULUMUL QURAN: ILMU UNTUK MEMAHAMI WAHYU/ ACEP HERMAWAN']"
PNJM-230107-0044,['Peristiwa Andi Azis: (Kemelut Bekas KNIL di Sulawesi Selatan PascaPengembalikan Kedaulatan/ Patrik Matanasi']
PNJM-230107-0045,"['BUKU PINTAR SUPERKOMPLET BIOLOGI: A-Z MATERI BIOLOGI SMA-MA/ SATI HARIYANTO', 'BUKU PINTAR MAPEL IPA FISIKA, BIOLOGI, & KIMIA: SMP/MTS KELAS VII,VIII, &IX/ AGUS S WAHYUDI']"
PNJM-230107-0046,"['Finally Mr. Right :Akhirnya Kamu Di Hatiku/ Shita Hapsari', 'Cinta Dalam Diam/ Shineeminka']"
PNJM-230107-0047,['Rate My Love/ Cassandra & Ela']
PNJM-230107-0048,"['Putri Pinang Masak/ Mahyudin Al Mudra, Tuti Sumarningsih']"
PNJM-230107-0049,"['Legenda Puteri Mambang Linau/ Wahyu Ningrum', 'Kecil-Kecil Jadi Detektif: Misteri Boneka Matryoshka/ Lakista Judith Tabina']"
PNJM-230107-0050,['Berterimakasih Kepada Bintang/ Veronica']
PNJM-230107-0051,"['Spooky Stories: Hell City/ Indzana Zulfa', 'Membuat Nata De Coco/ Y. P. Saragih']"
PNJM-230107-0052,['Pink Berry Club: Ranggawuni Shadow Mission/ Puspita Dwi Fitriyanti']
PNJM-230108-0053,"['Survival 2: Bertahan Hidup di Amazon/ Choi Duk-Hee, KangGyun -Hyo; Penerjemah, Iwan Wildana', 'Dongeng Halo Balita: Rosi Dan Seribu Tas/Iwan Yuswadi']"
PNJM-230108-0054,['Perling/ Nur Afiani']
PNJM-230108-0055,"['Revolusi Karakter Bangsa Menurut Pemikiran M. Soeparno: Kebijakan, Strategi, Dan Operasionalisasi BErdasarkan Model Kesisteman/ Harmanto Edy Djatmiko']"
