antecedents,consequents,support,confidence,lift
frozenset({'MENUMBUHKAN MINAT BACA SEJAK DINI/ R.MASRI SAREB PUTRA'}),"frozenset({'AKU MEMBACA, AKU TERSENYUM/ AM WASKITO'})",0.00039824771007566706,1.0,837.0
"frozenset({'AKU MEMBACA, AKU TERSENYUM/ AM WASKITO'})",frozenset({'Membaca Sastra: Pengantar Memahami Sastra Untuk perguruan Tinggi/ Melani Budianta...[et.al]...'}),0.00039824771007566706,0.33333333333333337,837.0000000000001
frozenset({'Membaca Sastra: Pengantar Memahami Sastra Untuk perguruan Tinggi/ Melani Budianta...[et.al]...'}),"frozenset({'AKU MEMBACA, AKU TERSENYUM/ AM WASKITO'})",0.00039824771007566706,1.0,837.0
frozenset({'AKUNTANSI JASA DAN DAGANG PRAKTIS DENGAN CONTOH SOAL/ HERY'}),frozenset({'PembukuanWajib Untuk Bisnis: Panduan Praktis Membuat Buku Pemasukan| Buku Pengeluaran Buku Arus Kas| Buku Catatan stok Buku Investari Barang| Buku Laba Rugi/ Yati Nurhayati'}),0.00039824771007566706,0.33333333333333337,837.0000000000001
frozenset({'PembukuanWajib Untuk Bisnis: Panduan Praktis Membuat Buku Pemasukan| Buku Pengeluaran Buku Arus Kas| Buku Catatan stok Buku Investari Barang| Buku Laba Rugi/ Yati Nurhayati'}),frozenset({'AKUNTANSI JASA DAN DAGANG PRAKTIS DENGAN CONTOH SOAL/ HERY'}),0.00039824771007566706,1.0,837.0
"frozenset({'Akuntansi manajemen Jilid 2/ Don R. Hansen, Maryanne M. Mowen; Penerjemah, Ancella A. Hermawan'})","frozenset({'AKUNTANSI MANAJEMEN/ ANTHONY A. ATKINSON...[ET.AL]...; PENERJEMAH, MIRANTI KARTIKA DEWI'})",0.00039824771007566706,0.2,125.55000000000001
"frozenset({'AKUNTANSI MANAJEMEN/ ANTHONY A. ATKINSON...[ET.AL]...; PENERJEMAH, MIRANTI KARTIKA DEWI'})","frozenset({'Akuntansi manajemen Jilid 2/ Don R. Hansen, Maryanne M. Mowen; Penerjemah, Ancella A. Hermawan'})",0.00039824771007566706,0.25,125.55000000000001
"frozenset({'AKUNTANSI MANAJEMEN/ ANTHONY A. ATKINSON...[ET.AL]...; PENERJEMAH, MIRANTI KARTIKA DEWI'})","frozenset({'Kunci Penyelesaian Soal: Akuntansi Manajemen / Don R. Hansen, Maryanne M. Mowen; Penerjemah, Ancella A. Hermawan'})",0.00039824771007566706,0.25,209.25
"frozenset({'Kunci Penyelesaian Soal: Akuntansi Manajemen / Don R. Hansen, Maryanne M. Mowen; Penerjemah, Ancella A. Hermawan'})","frozenset({'AKUNTANSI MANAJEMEN/ ANTHONY A. ATKINSON...[ET.AL]...; PENERJEMAH, MIRANTI KARTIKA DEWI'})",0.00039824771007566706,0.33333333333333337,209.25000000000003
frozenset({'Mikro Ekonomi: Teori Pengantar Edisi Ketiga/ Sadomo Sukirno'}),frozenset({'AKUNTANSI PENGANTAR 1/ SURADI'}),0.00039824771007566706,0.1111111111111111,279.0
